,Operator,Well Name,Formation,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Date Fracd,Compl. Type,Latitude,Longitude,Fluid Type from DI,SPACING_CAPPED,12 month Cum Prod,Best1 Mo BOPD,Best3 Mo BOPD,Best6 Mo BOPD,Best9 Mo BOPD,Best12 Mo BOPD,X (feet),Y (feet),Neighbors_Count_UpToDate
2049,Operator 36,Well 2071,TFH,9328,29,149,92,6,2781935,42468,2/15/2013,Sleeves,47.75018233,-102.4977798,,660,121.16,553.2544379,494.5321061,426.1615165,376.3021404,332.7662722,382572.0208,308564.2823,1.25
2050,Operator 24,Well 2072,MBH,4085,15,147,93,3,2229138,47972,2/7/2013,P & P,47.58538852,-102.5191715,,660,110.94,558.1525312,455.4350208,373.7672584,330.9628169,298.1426693,358179.4237,252885.5255,0.25
2051,Operator 34,Well 2073,TFH,10211,16,148,93,36,3218201,60734.97619,7/4/2013,P & P,47.5890574,-102.4671259,,618.921515,170.92,962.26167,749.0905106,611.4507999,533.5196143,468.2117028,370867.8992,250028.7951,3.5
2052,Operator 36,Well 2074,TFH,11991,35,149,92,3,3288240,52668,2/23/2013,Sleeves,47.74805878,-102.4464515,,660,92.46,520.5128205,398.8056103,332.1499014,281.3536416,248.7398641,394379.5159,303761.7254,1.75
2053,Operator 36,Well 2075,MBH,8523,28,149,92,6,2561100,40736,2/16/2013,Sleeves,47.7502219,-102.4978774,,660,203.33,1216.568047,1087.45343,847.0140259,661.6370809,550.0027394,382553.7462,308585.795,1.5
2054,Operator 24,Well 2076,TFH,4447,16,147,93,3,2162118,46610,2/6/2013,P & P,47.58545712,-102.5192446,,660,100.52,471.0059172,390.1928556,320.1840894,290.1124991,268.1514355,358170.2697,252915.216,0
2055,Operator 34,Well 2077,MBH,7420,23,148,93,36,2326670,42531.5,4/29/2013,P & P (cmt.),47.58905582,-102.466923,,618.921515,174.27,1084.25378,806.5088757,685.4700855,580.1044634,481.4349112,370915.504,250012.1435,3.25
2056,Operator 36,Well 2078,MBH,12760,34,149,92,3,3350620,51877,2/23/2013,Sleeves,47.74802335,-102.4463637,,660,74.82,367.4227482,299.4301994,266.2338374,237.4826503,208.5880999,394395.9874,303742.4404,2.75
2057,Operator 34,Well 2079,TFH,9850,16,148,93,36,3282112,62448.42857,8/5/2013,P & P,47.58905985,-102.4662131,,660,175.84,643.1952663,599.704142,566.4091606,529.2789831,482.6046461,371083.1835,249957.212,5.75
2058,Operator 12,Well 208,MBH,7689,31,159,91,12,3367183,42775,8/29/2012,P & P (cmt.),48.60983928,-102.3691136,LINEAR GEL (HC),660,69.75,233.0046022,224.961648,217.65286,200.862006,187.2315363,513451.6185,598242.6725,1
2059,Operator 36,Well 2080,TFH,10099,32,149,92,3,3017720,46959,2/25/2013,Sleeves,47.7481241,-102.4466519,,660,117.66,952.5641026,631.9088319,476.5066842,385.5066111,325.0958799,394340.0975,303800.3272,2.75
2060,Operator 36,Well 2081,TFH,8246,27,149,92,6,2472360,38536,2/18/2013,Sleeves,47.75026421,-102.4979751,,660,134.66,573.4385273,520.7100592,445.0745124,396.2889912,357.7690116,382535.7699,308608.2698,2.5
2061,Operator 33,Well 2082,TFH,9747,29,149,93,33,2497992,66068,1/27/2013,Sleeves,47.67414077,-102.5940363,,660,114.16,494.4773176,382.6868288,326.3039667,298.758127,274.7014026,351007.8292,289732.9491,0
2062,Operator 34,Well 2083,TFH,9696,31,148,93,36,3262880,60966.40476,8/5/2013,P & P (cmt.),47.58906101,-102.4660103,,641.97648,211.22,905.1282051,850.3177734,761.6973482,667.872014,579.4104756,371131.0863,249941.5228,5.75
2063,Operator 30,Well 2084,MBH,9216,30,144,96,22,2614408,19476,11/2/2012,Sleeves,47.27113303,-102.831048,CROSSLINKED (HC),660,50.6,380.834977,237.4753452,180.3857112,157.3307035,145.4881657,247472.3244,168593.9946,0
2064,Operator 7,Well 2085,MBH,9824,32,143,97,3,1889994,81105,12/21/2013,OH,47.24004367,-102.9611337,LINEAR GEL (HC),660,55.62,348.6193294,236.2919132,197.2003068,173.0732705,152.1778435,213014.3888,168328.1752,1
2065,Operator 34,Well 2086,MBH,9717,31,148,93,36,3257496,60148.61905,8/5/2013,P & P (cmt.),47.58906216,-102.4658074,,641.97648,185.57,899.1781723,840.0832785,716.3379356,603.557601,512.6999781,371179.0116,249925.8223,7.25
2066,Operator 18,Well 2087,MBH,10269,30,147,97,10,1874776,39979,1/5/2013,Sleeves,47.56056924,-103.0255417,,660,100.01,579.7172913,473.6795968,369.5485426,304.0872233,267.3159106,236078.6228,284865.3638,3.25
2067,Operator 30,Well 2088,MBH,9467,30,144,96,22,2678647,20789,11/18/2012,Sleeves,47.27113216,-102.8312496,CROSSLINKED (HC),660,66.64,426.6272189,289.6120973,233.8593031,206.8376068,190.8749726,247424.5498,168609.9747,1
2068,Operator 24,Well 2089,MBH,9878,29,147,93,10,4194803,90825,1/11/2013,P & P,47.56042227,-102.5037108,,660,169.15,779.1584484,708.8428665,593.9623055,513.368398,458.4757835,358888.4182,242965.95,0.25
2069,Operator 15,Well 209,MBH,5668,21,161,90,7,1776027,19631,4/25/2011,OH,48.77885668,-102.3933262,,660,40.91,245.7922419,194.7950909,155.2761341,128.4060194,108.6319307,527677.598,659153.1214,0
2070,Operator 35,Well 2090,MBH,9373,31,148,94,19,3989440,74028,4/11/2013,P & P,47.61784782,-102.7047078,CROSSLINKED (HC),660,137.2,891.2557528,639.732632,508.0593908,430.5062459,388.2533421,318339.1321,278973.3491,0
2071,Operator 7,Well 2091,MBH,8999,32,143,97,3,1924484,77852,12/21/2013,OH,47.24004367,-102.9609322,,660,76.78,386.4891519,314.7271532,271.9263642,234.798013,208.1689678,213062.0371,168311.8217,1
2072,Operator 34,Well 2092,MBH,9194,25,148,93,36,3223786,66811.11905,10/20/2013,P & P (cmt.),47.58947336,-102.4658125,,653.057155,119.56,535.5687048,514.5189568,426.3423187,364.3180656,321.4497041,371226.0434,250069.3919,8.25
2073,Operator 35,Well 2093,MBH,9880,30,148,94,19,4082350,75704,6/11/2013,P & P,47.61784622,-102.7044033,,660,138.52,772.9454306,647.4468551,549.0576375,478.4608079,422.8605084,318410.5628,278948.4458,1
2074,Operator 30,Well 2094,MBH,9143,30,146,92,29,3118417,17689,9/23/2012,Sleeves,47.44312969,-102.4242558,CROSSLINKED (HC),660,29.55,145.9894806,105.3035284,89.44773176,81.56914311,74.50690335,363876.0824,195823.0436,0
2075,Operator 30,Well 2095,TFH,9461,30,148,95,4,3457231,20592,11/6/2012,Sleeves,47.66777286,-102.7989529,CROSSLINKED (HC),346.6148,130.81,687.73833,540.5544598,438.0122726,384.3049164,352.4243918,302099.2276,303882.6922,0
2076,Operator 34,Well 2096,TFH,9377,,148,93,36,0,0,1/1/2013,No Data,47.5894722,-102.4660153,CROSSLINKED (HC),653.057155,109.35,577.6791584,504.985755,442.4501425,353.126598,296.9921105,371178.1409,250085.0809,0.5
2077,Operator 24,Well 2097,TFH,9243,28,147,93,10,3242224,98219,12/21/2012,P & P,47.56035068,-102.5037706,,660,137.85,634.2866535,548.9371028,453.9612097,397.7244503,365.0257506,358865.9208,242945.784,0
2078,Operator 32,Well 2098,MBH,10108,30,147,95,29,3500980,49289.90476,2/20/2013,Sleeves,47.53068643,-102.8202213,,627.865865,113.99,641.1571335,530.834977,423.3618234,359.7961867,314.661407,280829.6728,257923.5994,2.5
2079,Operator 2,Well 2099,TFH,10144,30,149,91,19,3361601,59156,7/27/2013,20 Sleeves and 10 P & P,47.71666061,-102.3736348,,424.90247,87.06,444.5430638,438.3190883,338.664256,267.7441742,229.5556651,407815.4432,287070.5672,2.75
2080,Operator 1,Well 21,MBH,5097,1,143,99,35,584000,8662,1/1/2007,No Data,47.16759471,-103.1989881,,660,9.11,39.31623932,34.74687705,29.1803638,25.83461173,23.49605523,148094.4149,162578.6165,0
2081,Operator 7,Well 210,MBH,4682,20,160,91,15,2875900,20112,6/15/2011,OH,48.69056416,-102.4273675,LINEAR GEL (HC),660,31.96,242.3076923,163.88341,119.9484988,98.88231427,86.92198115,509445.8623,630960.4745,1
2082,Operator 35,Well 2100,MBH,9107,30,147,94,1,4488743,84841,5/19/2013,P & P,47.58777712,-102.6061323,CROSSLINKED (HC),660,227.93,981.7554241,878.0626781,764.6778435,697.5418219,617.3789174,337984.87,260640.4171,1
2083,Operator 1,Well 2101,MBH,9640,30,145,95,9,2810745,54489,1/23/2013,P & P,47.38735643,-102.7840249,,619.09814,106.21,368.1459566,333.9140916,308.9195705,291.4237709,275.9889327,272364.1323,205189.8987,0
2084,Operator 2,Well 2102,MBH,10093,30,149,91,19,3379957,57674,7/30/2013,20 Sleeves and 10 P & P,47.71674281,-102.3736394,,424.90247,88.77,482.4128863,371.6305062,311.5001096,272.722624,248.745343,407823.9764,287099.5682,3.75
2085,Operator 35,Well 2103,MBH,10351,30,147,94,1,3610374,74401,5/18/2013,P & P,47.58775939,-102.6058283,,658.55925,213.31,1181.262327,879.9583607,733.7990357,646.2378552,567.0090949,338054.3464,260610.0089,0
2086,Operator 1,Well 2104,MBH,10039,30,146,95,17,2743491,53265,9/15/2013,P & P,47.47244497,-102.8063502,LINEAR GEL (HC),566.85175,134.47,556.8704799,528.7749288,445.7922419,395.0105924,361.0700197,277186.6485,236562.1229,1.75
2087,Operator 18,Well 2105,MBH,9032,30,146,97,36,1938018,40792,7/13/2013,Sleeves,47.41639342,-102.9853876,CROSSLINKED (HC),660,87.54,608.2840237,387.6835415,297.4852071,254.1383593,227.0299145,228316.1074,231535.3884,1
2088,Operator 2,Well 2106,MBH,10268,30,149,91,19,3477141,61510,7/23/2013,20 Sleeves and 10 P & P,47.71690725,-102.3736446,,417.43429,95.41,470.4470743,412.3383739,338.6971291,286.1421579,251.7011834,407841.988,287157.2683,2.25
2089,Operator 7,Well 2107,TFH,7705,29,141,96,13,1782092,62607,2/16/2013,OH,47.02520997,-102.7924961,,660,40.97,166.4036818,144.3458251,131.5581854,121.0972314,111.8671926,227452.8797,80054.63579,0
2090,Operator 1,Well 2108,TFH,9535,30,146,95,17,2818942,54536,9/30/2012,P & P,47.47244446,-102.8065323,LINEAR GEL (HC),408.15014,104.23,605.5555556,502.6736796,400.4766601,343.1623932,308.916831,277143.669,236576.5913,1
2091,Operator 18,Well 2109,MBH,9531,30,146,97,36,1930574,39618,7/10/2013,Sleeves,47.41639263,-102.9855898,,660,65.67,420.6114398,291.9022573,230.8678501,198.3928702,174.2000877,228268.3453,231551.4892,0
2092,Operator 12,Well 211,MBH,6785,24,159,91,26,3206697,43056,1/22/2011,P & P,48.56868906,-102.4013011,LINEAR GEL (HC),660,90.78,409.6318212,390.1818979,317.3843962,273.6649865,241.2420557,501170.2705,586379.2009,0
2093,Operator 2,Well 2110,TFH,10314,30,149,91,19,3440530,61294,7/24/2013,20 Sleeves and 10 P & P,47.71698949,-102.3736451,,417.43429,57.85,390.2695595,266.7872014,201.2820513,171.2579443,150.9670173,407851.4898,287185.9595,1.75
2094,Operator 30,Well 2111,MBH,9593,30,144,96,27,2582280,28433,12/2/2012,Sleeves,47.26980444,-102.8244162,,660,56.37,393.1952663,262.0096428,204.1968004,171.9519322,155.2049091,248882.914,167596.8438,0
2095,Operator 1,Well 2112,MBH,9893,30,146,95,17,2841074,46406,8/23/2013,P & P,47.47244219,-102.8073417,LINEAR GEL (HC),643.247665,116.67,660.9467456,489.9298707,407.5005479,353.7110088,314.8394696,276952.6335,236640.9008,0.5
2096,Operator 4,Well 2113,TFH,9420,30,141,97,31,3234689,44683,12/13/2012,Sleeves,46.98155269,-103.0186628,,660,29.83,117.8500986,110.8590839,97.25509533,86.18598875,77.63532764,168557.6104,83294.88758,0
2097,Operator 2,Well 2114,TFH,9887,30,149,92,25,3386140,69125,12/12/2012,20 Sleeves and 10 P & P,47.68922564,-102.3928218,,660,77.05,432.8731098,334.231865,269.7676967,231.8869165,207.5087662,400093.525,279028.4835,0.5
2098,Operator 1,Well 2115,TFH,9692,30,146,95,17,2833252,51895,8/26/2013,P & P,47.47244168,-102.8075238,LINEAR GEL (HC),660,99.89,546.0552268,413.5546789,328.9173789,284.476587,255.0323252,276909.6543,236655.3698,2.25
2099,Operator 34,Well 2116,MBH,9976,16,147,92,21,3172553,51072.95238,1/26/2013,1 Sleeve and 15 P & P,47.53284215,-102.3998134,,660,114.67,704.5364892,496.3291694,387.9958361,340.7882241,310.3824238,380145.6411,225117.3858,0
2100,Operator 2,Well 2117,TFH,9868,30,149,91,8,3310220,63359,11/17/2013,P & P,47.73247444,-102.3565562,CROSSLINKED (HC),353.86641,76.63,411.3412229,327.6901162,286.3686171,234.0017532,195.8771641,413679.6269,291232.7315,0.75
2101,Operator 24,Well 2118,TFH,8334,27,147,92,21,3627020,75252,6/26/2013,P & P,47.53292376,-102.4051667,CROSSLINKED (HC),645.26509,117.32,788.4615385,584.6153846,462.7985974,395.4269852,354.0105194,378892.7926,225570.0966,1.25
2102,Operator 7,Well 2119,MBH,9247,21,143,97,21,1170907,35484,1/11/2013,OH,47.18405775,-102.9828666,,660,45.65,183.3333333,179.1036599,154.3282928,136.4745416,120.6936226,201199.2268,150656.2267,0
2103,Operator 12,Well 212,MBH,8303,29,159,90,34,3996138,53103,1/19/2012,P & P,48.54844264,-102.2921574,,660,67.31,235.042735,205.9390752,191.6611878,183.6364965,176.254657,524097.0027,570824.9827,0
2104,Operator 1,Well 2120,TFH,10082,30,147,96,36,2848359,54585,10/8/2013,P & P,47.51589675,-102.8504702,,454.023065,115.91,575.147929,469.3184309,383.9031339,338.6843451,306.5828402,271951.0072,255215.6187,1.5
2105,Operator 24,Well 2121,TFH,8710,28,147,92,21,3650848,79502,6/26/2013,P & P,47.53302009,-102.4049721,CROSSLINKED (HC),550.71346,123.72,959.7633136,674.3151435,471.89897,383.7387684,331.2486303,378949.9567,225588.2136,1.25
2106,Operator 2,Well 2122,MBH,10629,30,149,92,25,3524815,65532,12/16/2012,20 Sleeves and 10 P & P,47.68922553,-102.3929437,,660,97.05,516.9625247,405.5226824,339.4148586,302.8453503,275.0794433,400064.8408,279038.0781,2.25
2107,Operator 7,Well 2123,MBH,8744,21,142,94,4,1290363,53377,2/1/2013,OH,47.1539329,-102.5947639,,660,13.03,51.93951348,50.04383081,44.62524655,39.76915772,35.26188911,289575.3193,108836.2131,0
2108,Operator 1,Well 2124,MBH,10124,30,147,96,36,2837706,53436,10/6/2013,P & P,47.51589683,-102.8502879,,597.023765,126.63,505.1610782,461.5165461,407.275915,365.9507634,332.9635108,271993.944,255200.9739,1.25
2109,Operator 24,Well 2125,TFH,8161,27,147,92,21,3513776,76595,8/21/2013,P & P,47.53368744,-102.3974063,CROSSLINKED (HC),481.17312,85.55,608.9414859,382.0293666,304.9528819,260.2381474,230.7829279,380812.1935,225220.966,0.5
2110,Operator 2,Well 2126,TFH,10700,30,149,92,25,3537924,66690,12/19/2012,20 Sleeves and 10 P & P,47.68922805,-102.3931835,,660,88.05,625.5095332,412.7109358,329.6351085,271.0460954,236.946636,400008.7338,279057.9059,1.75
2111,Operator 1,Well 2127,TFH,9594,30,147,96,36,2886175,50420,8/8/2013,P & P,47.51589722,-102.8494779,LINEAR GEL (HC),244.335895,127.39,628.5667324,490.6749945,428.6763094,381.5801008,346.0880999,272184.7263,255135.9168,0.25
2112,Operator 2,Well 2128,TFH,9342,30,149,92,10,3216939,61670,1/5/2013,P & P,47.74545437,-102.4464928,,410.291825,93.86,427.4490467,399.0685952,341.9625247,292.9030609,262.1082621,394064.4062,302857.8241,0.5
2113,Operator 1,Well 2129,MBH,10401,30,147,96,36,2866491,48507,8/6/2013,P & P,47.5158973,-102.8492956,,653.92863,135.32,780.6706114,554.4269121,461.3686171,404.5474469,365.7352619,272227.6633,255121.2724,0.25
2114,Operator 15,Well 213,MBH,5226,21,164,90,34,2155300,23551.21429,10/8/2010,P & P,48.98184428,-102.3319829,,660,37.07,240.7955293,163.0287092,126.4299803,108.7077215,98.59467456,565622.2935,725344.4488,0
2115,Operator 24,Well 2130,MBH,8498,29,147,92,21,3934265,82825,8/22/2013,P & P,47.53371348,-102.3972928,CROSSLINKED (HC),525.78197,113.98,775.9368836,540.7188253,405.9281175,346.8332238,310.2153189,380842.0059,225221.0392,2.25
2116,Operator 2,Well 2131,TFH,9491,30,149,92,10,2981808,67597,1/10/2013,P & P,47.74531154,-102.4466099,,553.70119,84.78,352.991453,342.0775805,308.9907955,272.8212433,242.7186062,394020.1466,302817.3355,1.5
2117,Operator 34,Well 2132,MBH,9478,35,149,93,20,5402350,108224.9048,9/14/2014,P & P (cmt.),47.70450086,-102.6115345,,283.858925,98.02,441.7488494,384.3523997,350.0657462,302.8964862,,350474.0737,301692.7776,2
2118,Operator 2,Well 2133,MBH,10370,30,148,97,28,3144431,76225,5/30/2013,P & P,47.61690525,-103.0550758,CROSSLINKED (HC),399.27819,133.94,586.5548981,539.4696472,451.183432,399.382716,360.267368,235874.3596,306824.955,0.25
2119,Operator 2,Well 2134,MBH,9389,30,149,92,10,3104250,65247,1/15/2013,P & P,47.74523739,-102.4466663,,410.291825,140.93,726.1341223,608.8647819,511.0672803,448.6083717,390.7818321,393998.2012,302795.9685,2.5
2120,Operator 34,Well 2135,MBH,9579,35,149,93,20,5917798,105845.2143,9/14/2014,P & P (cmt.),47.70445135,-102.6113475,,577.22852,143.08,667.8829717,590.2695595,507.7635328,452.8234349,,350512.1709,301660.6617,2
2121,Operator 2,Well 2136,TFH,10347,30,148,97,28,3136396,78044,6/12/2013,P & P,47.61691353,-103.0551975,CROSSLINKED (HC),399.27819,78.62,373.7672584,344.0609248,270.1731317,223.610198,190.9681131,235846.7645,306837.6767,1.25
2122,Operator 30,Well 2137,MBH,8540,30,148,94,32,2577572,31314,1/20/2013,Sleeves,47.59164863,-102.6785251,,660,287.96,968.7705457,956.1801446,915.3955731,862.8205128,764.8120754,321402.3649,267766.3351,0
2123,Operator 24,Well 2138,MBH,8388,28,147,92,21,3831101,77843,6/26/2013,P & P,47.53297192,-102.4050694,,594.677735,110.26,925.0164366,560.0482139,403.2434802,340.4047045,303.1092483,378921.374,225579.1534,0.5
2124,Operator 37,Well 2139,MBH,9232,,146,97,5,0,0,1/1/2012,No Data,47.50043762,-103.0701201,LINEAR GEL (HC),660,67.13,444.6745562,259.9495946,206.9471839,172.266053,151.4628534,218400.8694,267590.6206,0
2125,Operator 15,Well 214,MBH,4250,18,162,90,26,1399748,13170,6/26/2011,OH,48.83573907,-102.3192084,,660,30.8,251.8408941,156.3445102,112.0808679,95.03250785,84.89480605,551451.0149,673288.6873,0
2126,Operator 34,Well 2140,MBH,8029,29,149,93,20,4895434,89200.92857,9/14/2014,P & P (cmt.),47.70455038,-102.6117256,,459.641745,128.17,547.9618672,501.0738549,430.1665571,382.694134,,350435.0146,301725.2233,2
2127,Operator 36,Well 2141,TFH,9868,32,149,92,3,3205240,64209,11/30/2013,Sleeves,47.74749639,-102.4466234,,660,61.88,334.6811308,278.9064212,220.4909051,188.4104025,167.9815911,394273.1835,303579.4288,6.5
2128,Operator 30,Well 2142,MBH,9447,30,146,93,10,3022557,21756,4/27/2013,Sleeves,47.47411046,-102.5070516,CROSSLINKED (HC),618.79036,87.93,627.7777778,410.5741837,316.2502739,267.492147,242.2172913,347964.5968,213190.7213,0.5
2129,Operator 7,Well 2143,MBH,8825,21,142,94,7,1322597,41620,3/1/2013,OH,47.12716343,-102.6426592,,660,22,133.0374753,94.48827526,78.692746,67.55424063,59.97150997,275062.532,103380.2911,0
2130,Operator 7,Well 2144,MBH,8233,21,142,96,24,1307563,44086,2/7/2013,OH,47.11047009,-102.7917423,,660,53.42,252.2024984,219.6909928,187.6835415,164.9937906,147.8221565,237731.2438,109605.744,0
2131,Operator 36,Well 2145,MBH,8937,29,149,92,3,2909760,58986,12/2/2013,Sleeves,47.74743047,-102.4466759,LINEAR GEL (HC),660,85.16,527.843524,427.1203156,325.9259259,274.530645,244.3841771,394253.1198,303560.6198,7.5
2132,Operator 30,Well 2146,TFH,9418,30,146,93,10,2536540,44652,4/18/2013,Sleeves,47.47410903,-102.5068492,,618.79036,66.49,324.2274819,259.2044707,213.9546351,194.0390094,180.4514574,348012.1864,213174.1089,0
2133,Operator 2,Well 2147,TFH,10312,30,149,91,8,3480840,54117,11/19/2013,P & P,47.7324753,-102.35619,CROSSLINKED (HC),660,105.77,565.6476003,450.8327854,368.1021258,321.9482796,290.105194,413765.8083,291204.1498,1.75
2134,Operator 36,Well 2148,TFH,7560,27,149,92,3,2696580,55689,12/3/2013,Sleeves,47.74736455,-102.4467284,LINEAR GEL (HC),660,131.68,642.1761999,571.7839141,542.3131712,427.2992914,363.6313829,394233.056,303541.8108,7.75
2135,Operator 2,Well 2149,MBH,9850,30,149,91,8,3291120,63389,11/17/2013,P & P,47.73247473,-102.3564341,CROSSLINKED (HC),353.86641,108.83,478.43524,401.106728,346.4387464,310.3075462,275.2821609,413708.3622,291223.2028,2.25
2136,Operator 17,Well 215,MBH,4147,17,162,91,25,1696800,19108,8/31/2011,P & P,48.83572183,-102.4213686,,660,30.35,140.8284024,132.0293666,109.0894149,92.47936299,81.09796187,527884.8975,681192.9452,0
2137,Operator 30,Well 2150,MBH,9146,30,146,94,20,2652819,17323,11/26/2012,Sleeves,47.4455986,-102.681702,CROSSLINKED (HC),660,107.47,726.035503,477.5914968,371.7455621,322.8139382,291.6666667,303400.8763,217221.6828,0
2138,Operator 2,Well 2151,TFH,9480,30,149,91,19,3215141,57053,7/31/2013,20 Sleeves and 10 P & P,47.71649616,-102.3736296,CROSSLINKED (HC),600.773425,60,363.5108481,278.5996055,209.2483016,182.7160494,166.5543502,407797.4306,287012.8637,4
2139,Operator 7,Well 2152,MBH,9629,21,142,95,27,1302002,47782,2/23/2013,OH,47.09628413,-102.7096139,,660,34.01,170.3155819,127.9640587,110.672803,99.22200307,89.1765286,255534.2591,98043.61566,0
2140,Operator 1,Well 2153,TFH,9580,30,145,95,9,2813157,48551,2/7/2013,P & P,47.38729106,-102.7841799,LINEAR GEL (HC),619.09814,89.07,320.2827087,283.6620644,267.0118343,247.3372781,227.52849,272319.7982,205179.6526,0.25
2141,Operator 2,Well 2154,MBH,9517,30,149,92,12,3049300,62241,3/22/2013,P & P,47.74476748,-102.3934722,,393.398805,82.05,483.1360947,335.8974359,273.5261889,243.1331726,226.235481,406441.5153,298428.7648,1
2142,Operator 36,Well 2155,TFH,9969,31,149,92,4,3074562,47449,5/17/2013,Sleeves,47.74646229,-102.4535633,,653.431175,95.53,523.6686391,452.2572869,355.4898093,295.8068522,262.6424501,392521.5633,303768.182,1.5
2143,Operator 30,Well 2156,MBH,7733,30,147,92,36,2565187,32088,1/4/2013,Sleeves,47.50611063,-102.3469012,,660,46.32,257.2978304,192.6364234,155.4459785,137.2781065,126.6190007,389502.2235,211618.1227,0
2144,Operator 2,Well 2157,MBH,9723,30,148,92,14,3203681,74874,5/9/2013,P & P,47.63313966,-102.3610256,,405.953,107.68,576.8902038,449.2548762,379.0872233,324.6950106,288.1300679,401016.0338,256978.918,1.25
2145,Operator 18,Well 2158,MBH,9199,30,147,97,21,1952441,40184,6/3/2013,Sleeves,47.53126514,-103.0454349,CROSSLINKED (HC),660,85.36,661.6042078,428.2270436,315.0832785,261.6078603,229.1283147,227896.764,276296.5508,2
2146,Operator 36,Well 2159,MBH,9941,31,149,92,4,3070666,47429,5/15/2013,Sleeves,47.74642636,-102.4536509,,589.96837,96.95,598.7179487,441.8145957,360.930309,298.6522025,264.6997589,392496.7698,303762.5972,1.25
2147,Operator 12,Well 216,MBH,6459,21,159,91,26,2927136,36614,1/14/2012,P & P,48.56868906,-102.4008878,LINEAR GEL (HC),660,45.95,156.5417488,145.5950033,139.3984221,133.2968077,122.9043393,501266.0303,586347.0176,1
2148,Operator 35,Well 2160,MBH,9693,31,148,94,29,3598637,65331,9/19/2013,P & P,47.61660021,-102.6798568,CROSSLINKED (HC),602.45034,135.33,1054.306377,702.7065527,522.6276572,446.5081452,383.1004821,324037.0756,276553.129,1.25
2149,Operator 24,Well 2161,MBH,7857,26,147,93,11,3475976,80332,1/27/2013,P & P,47.56204452,-102.4960006,,660,126.49,649.2439185,551.402586,427.509314,366.6082256,330.9116809,360895.5602,242917.8217,0.25
2150,Operator 36,Well 2162,TFH,9839,31,149,92,4,3063700,48630,5/14/2013,Sleeves,47.74639042,-102.4537425,,596.537195,102.08,580.6706114,514.0039448,426.14508,353.4188034,313.5765943,392471.0354,303757.3255,0.25
2151,Operator 30,Well 2163,MBH,9026,,147,94,10,0,0,1/1/2013,No Data,47.55971947,-102.6502926,,660,37.5,179.8159106,143.4582512,119.5540215,106.6111476,98.80013149,324278.2374,254402.7043,0
2152,Operator 36,Well 2164,MBH,9946,31,149,92,9,3057420,48432,5/12/2013,Sleeves,47.74635453,-102.4538207,LINEAR GEL (HC),660,85.85,579.7501644,489.6559281,377.9092702,313.1419388,275.019176,392448.4548,303751.0111,0
2153,Operator 35,Well 2165,MBH,9209,30,147,94,3,4621859,92793,4/14/2014,P & P,47.58761189,-102.6454857,,660,198.64,1346.811308,950.0438308,697.5454745,590.8831909,524.9698663,328701.7305,263722.7581,0
2154,Operator 35,Well 2166,TFH,9153,30,147,94,3,4491241,206326,4/23/2014,P & P,47.58761041,-102.6452423,SLICKWATER (HC),654.061895,135.98,1077.3833,787.8369494,556.0267368,440.4047045,366.8063774,328758.8471,263702.8105,1.5
2155,Operator 35,Well 2167,MBH,9392,30,148,94,33,3775100,180863,8/11/2013,P & P,47.5891603,-102.6559117,SLICKWATER (HC),660,230.62,1286.653517,1086.50011,905.4021477,773.2558989,655.095332,326430.5146,265094.0042,0.25
2156,Operator 24,Well 2168,TFH,8537,25,147,93,11,3333156,77037,1/27/2013,P & P,47.56196223,-102.4960197,,463.635795,71.69,512.7218935,372.0030682,285.0098619,233.8045146,203.4105851,360881.3982,242890.6944,0.25
2157,Operator 7,Well 2169,TFH,9099,21,141,96,21,1289718,39293,3/2/2013,OH,47.01305953,-102.8612714,,660,23.6,105.5555556,103.2325225,90.74621959,78.34027321,68.86368617,209680.1502,81413.01127,0
2158,Operator 18,Well 217,MBH/TFH,10157,18,163,93,2,1170842,18951,8/11/2012,Sleeves,48.98049707,-102.7016945,,660,16.53,55.55555556,54.87617795,53.25991672,49.6603112,46.07440281,480448.8585,753570.8656,0
2159,Operator 35,Well 2170,MBH,9215,31,147,94,3,4474122,204436,4/21/2014,P & P,47.58760892,-102.6449989,LINEAR GEL (HC),654.061895,178.44,1086.193294,843.1404778,689.4586895,585.6965447,482.6210826,328815.9626,263682.8597,1
2160,Operator 35,Well 2171,MBH,9549,30,148,94,33,4346020,205079,8/13/2013,P & P,47.58915896,-102.6557818,,660,227.9,1330.374753,1028.29279,838.2478632,708.0575645,610.968661,326460.9301,265083.1636,1
2161,Operator 1,Well 2172,TFH,8830,29,147,96,14,2664871,39189,12/6/2012,P & P,47.54881674,-102.8692812,LINEAR GEL (HC),64.712815,41.88,179.5857988,167.9377602,148.2851194,134.7140039,124.0631164,271435.3221,268172.2383,1.25
2162,Operator 30,Well 2173,MBH,9410,30,145,93,19,2519220,44674,5/27/2013,Sleeves,47.35905009,-102.5750564,CROSSLINKED (HC),660,77.81,360.8152531,312.7657243,256.722551,225.553364,205.0569801,318379.6465,178584.4437,0
2163,Operator 1,Well 2174,TFH,9717,29,147,96,22,2732199,53059,7/13/2013,P & P,47.54472647,-102.8969024,,266.58927,109.14,542.7679158,489.3381547,391.4091606,342.4684053,306.0513916,264448.8913,268974.9927,1
